split,contrast,id,scene,n_lights,patch_mean_delta,pixel_mean_delta
val,B-A,Place101_1,Place101,1,0.18215781450271606,0.1821423034787082
val,B-C,Place101_1,Place101,1,0.6454650461673737,0.6452710744646286
val,B-A,Place101_12,Place101,2,-0.07006600499153137,-0.04453532065555149
val,B-C,Place101_12,Place101,2,-0.009751051664352417,-0.003170002800077454
val,B-A,Place107_1,Place107,1,0.4544091820716858,0.4542253451141571
val,B-C,Place107_1,Place107,1,0.236627995967865,0.23656817362183635
val,B-A,Place107_12,Place107,2,-0.045973360538482666,-0.03137458706537488
val,B-C,Place107_12,Place107,2,0.01823592185974121,0.02169545966808606
val,B-A,Place112_1,Place112,1,0.05278217792510986,0.05280550853822019
val,B-C,Place112_1,Place112,1,0.12118363380432129,0.12119517285823833
val,B-A,Place112_12,Place112,2,-0.2825268507003784,-0.2631049993479342
val,B-C,Place112_12,Place112,2,-0.2893332839012146,-0.27686891741727826
val,B-A,Place118_1,Place118,1,-0.22626005113124847,-0.2282230193098435
val,B-C,Place118_1,Place118,1,-0.25572894513607025,-0.257811041336832
val,B-A,Place118_12,Place118,2,0.04924839735031128,0.04435628995026775
val,B-C,Place118_12,Place118,2,0.5115371346473694,0.46526687693569924
val,B-A,Place12_1,Place12,1,2.056941270828247,2.0569300996717996
val,B-C,Place12_1,Place12,1,0.19249892234802246,0.1924991105634435
val,B-A,Place12_12,Place12,2,1.2085521221160889,1.1874471190540437
val,B-C,Place12_12,Place12,2,0.3695647716522217,0.3700699762999444
val,B-A,Place120_1,Place120,1,-0.1519526243209839,-0.15196748794343506
val,B-C,Place120_1,Place120,1,-0.18534016609191895,-0.18536760799435492
val,B-A,Place120_12,Place120,2,-0.21236789226531982,-0.19998070691321268
val,B-C,Place120_12,Place120,2,-0.7535820007324219,-0.7342660118428521
val,B-A,Place125_1,Place125,1,-0.07812464237213135,-0.0781204838015932
val,B-C,Place125_1,Place125,1,-0.2908531427383423,-0.2908589397571011
val,B-A,Place125_12,Place125,2,0.16063225269317627,0.16950451545813605
val,B-C,Place125_12,Place125,2,0.07405751943588257,0.07652084482931598
val,B-A,Place130_1,Place130,1,0.35690176486968994,0.3568309452161761
val,B-C,Place130_1,Place130,1,-0.738351583480835,-0.7382915122260725
val,B-A,Place130_12,Place130,2,-0.31592416763305664,-0.27437267211197014
val,B-C,Place130_12,Place130,2,-0.08882880210876465,-0.12178251129306616
val,B-A,Place139_1,Place139,1,-0.1646796464920044,-0.16465610375127304
val,B-C,Place139_1,Place139,1,0.14287430047988892,0.14289004857530596
val,B-A,Place139_12,Place139,2,1.5771710872650146,1.4274445744479631
val,B-C,Place139_12,Place139,2,-0.02164173126220703,-0.01955769145151187
val,B-A,Place147_1,Place147,1,0.7277131080627441,0.7277226139749757
val,B-C,Place147_1,Place147,1,-0.43480825424194336,-0.4348086462131606
val,B-A,Place147_12,Place147,2,0.0070574283599853516,0.007524275736045194
val,B-C,Place147_12,Place147,2,-0.5660312175750732,-0.5656188175578696
val,B-A,Place162_1,Place162,1,-0.3191061317920685,-0.3184104741432725
val,B-C,Place162_1,Place162,1,0.015515297651290894,0.015859091192934688
val,B-A,Place162_12,Place162,2,0.8416833281517029,0.8349534164328525
val,B-C,Place162_12,Place162,2,0.6602208614349365,0.6581698943126391
val,B-A,Place168_1,Place168,1,0.18274235725402832,0.1827992730058089
val,B-C,Place168_1,Place168,1,0.16501998901367188,0.16507844436872476
val,B-A,Place168_12,Place168,2,-0.01901906728744507,-0.019053077665170393
val,B-C,Place168_12,Place168,2,0.1657266616821289,0.16562875452033204
val,B-A,Place169_1,Place169,1,0.20023179054260254,0.2001790680939729
val,B-C,Place169_1,Place169,1,0.35901811718940735,0.3588958753948954
val,B-A,Place169_12,Place169,2,-0.5833157300949097,-0.5510190828275761
val,B-C,Place169_12,Place169,2,-1.0439907312393188,-0.9969141724086223
val,B-A,Place17_1,Place17,1,-2.1877212524414062,-2.1877008007613457
val,B-C,Place17_1,Place17,1,-2.1027050018310547,-2.1026831906544245
val,B-A,Place17_12,Place17,2,0.9059271812438965,0.929706343369471
val,B-C,Place17_12,Place17,2,-0.11948966979980469,-0.11013084698935316
val,B-A,Place174_1,Place174,1,-0.2677074670791626,-0.2677046222083561
val,B-C,Place174_1,Place174,1,0.35486137866973877,0.3548687659838501
val,B-A,Place174_12,Place174,2,-0.22327613830566406,-0.22731627482618944
val,B-C,Place174_12,Place174,2,1.6698522567749023,1.5901190786524158
val,B-A,Place176_1,Place176,1,0.9212349057197571,0.9213979562020866
val,B-C,Place176_1,Place176,1,0.5762374997138977,0.5763265368872467
val,B-A,Place176_12,Place176,2,-0.13248133659362793,-0.09375314815113622
val,B-C,Place176_12,Place176,2,0.04689013957977295,0.04284798935570722
val,B-A,Place177_1,Place177,1,0.3375880718231201,0.33756099524212235
val,B-C,Place177_1,Place177,1,0.2928711175918579,0.29284630583027593
val,B-A,Place177_12,Place177,2,-0.3856503963470459,-0.3285256848802498
val,B-C,Place177_12,Place177,2,0.05720686912536621,0.05439986486427051
val,B-A,Place189_1,Place189,1,-0.22585242986679077,-0.22589150146060033
val,B-C,Place189_1,Place189,1,-0.0721663236618042,-0.07219216554421537
val,B-A,Place189_12,Place189,2,-0.7531313896179199,-0.7152012706889641
val,B-C,Place189_12,Place189,2,1.5714117288589478,1.4692262598839343
val,B-A,Place195_1,Place195,1,0.7094075083732605,0.7093638320255834
val,B-C,Place195_1,Place195,1,0.6601425409317017,0.6600048918620294
val,B-A,Place195_12,Place195,2,-0.032021522521972656,-0.04516196826361929
val,B-C,Place195_12,Place195,2,0.6726951599121094,0.6016178133735584
val,B-A,Place198_1,Place198,1,0.7542845755815506,0.7539102610338435
val,B-C,Place198_1,Place198,1,0.4871312379837036,0.4870732154939371
val,B-A,Place198_12,Place198,2,0.12901997566223145,0.11649873164524838
val,B-C,Place198_12,Place198,2,-0.06218099594116211,-0.059134749380453044
val,B-A,Place2_1,Place2,1,0.24906837940216064,0.2490704686519849
val,B-C,Place2_1,Place2,1,-0.001278996467590332,-0.0012843817273329172
val,B-A,Place2_12,Place2,2,0.4323962926864624,0.426842357686813
val,B-C,Place2_12,Place2,2,-0.07221436500549316,-0.0691867225825491
val,B-A,Place202_1,Place202,1,-0.9346494674682617,-0.93465802573186
val,B-C,Place202_1,Place202,1,-0.6837685108184814,-0.6837675094356919
val,B-A,Place202_12,Place202,2,0.15661001205444336,0.1401636081280042
val,B-C,Place202_12,Place202,2,0.11738300323486328,0.12272010960892654
val,B-A,Place209_1,Place209,1,1.1892287731170654,1.1890941856998487
val,B-C,Place209_1,Place209,1,0.8105407953262329,0.8104886512050768
val,B-A,Place209_12,Place209,2,0.34886059165000916,0.30925351383999133
val,B-C,Place209_12,Place209,2,-0.3641871213912964,-0.36484833566659924
val,B-A,Place21_1,Place21,1,0.3784325122833252,0.3784248334670339
val,B-C,Place21_1,Place21,1,-0.8124783039093018,-0.8124784167915178
val,B-A,Place21_12,Place21,2,-0.6082525253295898,-0.4446078983598447
val,B-C,Place21_12,Place21,2,0.23888492584228516,0.07060214735484038
val,B-A,Place212_1,Place212,1,0.975043773651123,0.9750438943695299
val,B-C,Place212_1,Place212,1,-0.5890469551086426,-0.5890428242323811
val,B-A,Place212_12,Place212,2,-0.41232872009277344,-0.38323725491429883
val,B-C,Place212_12,Place212,2,0.7711982727050781,0.7755984720473612
val,B-A,Place218_1,Place218,1,0.17897969484329224,0.17893728829724187
val,B-C,Place218_1,Place218,1,0.11868524551391602,0.11863795468651639
val,B-A,Place218_12,Place218,2,0.018555521965026855,0.03042573245436264
val,B-C,Place218_12,Place218,2,0.35154497623443604,0.46366264972516547
val,B-A,Place219_1,Place219,1,0.08744180202484131,0.08744943175162923
val,B-C,Place219_1,Place219,1,-0.03881967067718506,-0.038814766052577276
val,B-A,Place219_12,Place219,2,0.058193206787109375,0.07327808740366759
val,B-C,Place219_12,Place219,2,0.05847454071044922,0.07835761541760533
val,B-A,Place229_1,Place229,1,-0.1958012580871582,-0.19576276416874722
val,B-C,Place229_1,Place229,1,-0.1756981611251831,-0.17564004587555887
val,B-A,Place229_12,Place229,2,4.102100849151611,2.8592159280026053
val,B-C,Place229_12,Place229,2,0.0028772354125976562,-0.18433449907205102
val,B-A,Place234_1,Place234,1,-0.017650604248046875,-0.01764996510754724
val,B-C,Place234_1,Place234,1,0.303952693939209,0.30394992731888193
val,B-A,Place234_12,Place234,2,-0.13182926177978516,-0.13196427976855318
val,B-C,Place234_12,Place234,2,0.0710296630859375,0.07177389028948866
val,B-A,Place235_1,Place235,1,0.16661691665649414,0.16661316473569343
val,B-C,Place235_1,Place235,1,-1.1338400840759277,-1.1338423269116298
val,B-A,Place235_12,Place235,2,0.9102449417114258,1.0333590577680543
val,B-C,Place235_12,Place235,2,-6.1962175369262695,-4.77474152509869
val,B-A,Place237_1,Place237,1,5.10264778137207,5.102645094047803
val,B-C,Place237_1,Place237,1,7.606993675231934,7.606986462162593
val,B-A,Place237_12,Place237,2,7.914783477783203,7.887618835305748
val,B-C,Place237_12,Place237,2,11.514650344848633,11.226396870987232
val,B-A,Place243_1,Place243,1,-0.032140135765075684,-0.03232623191383721
val,B-C,Place243_1,Place243,1,-0.34903717041015625,-0.3490332239410857
val,B-A,Place243_12,Place243,2,-0.4348747730255127,-0.4604812961914928
val,B-C,Place243_12,Place243,2,-0.10641646385192871,-0.1189458632832463
val,B-A,Place245_1,Place245,1,5.7796125411987305,5.779655650705349
val,B-C,Place245_1,Place245,1,4.27382230758667,4.273830528920212
val,B-A,Place245_12,Place245,2,-1.9566307067871094,-1.9401446794698671
val,B-C,Place245_12,Place245,2,-2.615222930908203,-2.5994046869094447
val,B-A,Place247_1,Place247,1,-0.27783679962158203,-0.2778358876135858
val,B-C,Place247_1,Place247,1,-2.768037796020508,-2.7680348586859473
val,B-A,Place247_12,Place247,2,2.7551183700561523,2.552093145475009
val,B-C,Place247_12,Place247,2,1.1729421615600586,1.1195286068934767
val,B-A,Place250_1,Place250,1,-0.202392578125,-0.20239154552068106
val,B-C,Place250_1,Place250,1,0.2098749876022339,0.20981720730831643
val,B-A,Place250_12,Place250,2,1.1914796829223633,1.1911450020946095
val,B-C,Place250_12,Place250,2,1.97337007522583,1.9652365981654052
val,B-A,Place265_1,Place265,1,0.963509202003479,0.9636747125952154
val,B-C,Place265_1,Place265,1,0.40573668479919434,0.40575310254142427
val,B-A,Place265_12,Place265,2,-0.793830394744873,-0.2008478650828569
val,B-C,Place265_12,Place265,2,-0.538834810256958,-0.1724540223129125
val,B-A,Place279_1,Place279,1,0.22596454620361328,0.2259687439807263
val,B-C,Place279_1,Place279,1,0.28029537200927734,0.2802988105052844
val,B-A,Place279_12,Place279,2,0.31278514862060547,0.3088959072264901
val,B-C,Place279_12,Place279,2,-0.010648250579833984,-0.010371450324552889
val,B-A,Place306_1,Place306,1,0.14512038230895996,0.14504072332999945
val,B-C,Place306_1,Place306,1,-0.11097633838653564,-0.11089126493227208
val,B-A,Place306_12,Place306,2,-0.15689635276794434,-0.12965925966514247
val,B-C,Place306_12,Place306,2,-0.23152780532836914,-0.19454272622069269
val,B-A,Place314_1,Place314,1,-0.18672841787338257,-0.18671638979722427
val,B-C,Place314_1,Place314,1,0.03363692760467529,0.03360866812297836
val,B-A,Place314_12,Place314,2,0.4750022888183594,0.25179561050301835
val,B-C,Place314_12,Place314,2,0.9396820068359375,0.5460109817325325
val,B-A,Place32_1,Place32,1,-0.8175920248031616,-0.8172805145853338
val,B-C,Place32_1,Place32,1,-1.1661018133163452,-1.1657614833294567
val,B-A,Place32_12,Place32,2,-0.9759618043899536,-0.9802012450977526
val,B-C,Place32_12,Place32,2,-0.17412662506103516,-0.1650536115641983
val,B-A,Place327_1,Place327,1,-0.37592613697052,-0.3759364177116815
val,B-C,Place327_1,Place327,1,-0.21293878555297852,-0.21293968475806113
val,B-A,Place327_12,Place327,2,1.6431617736816406,1.4330236616728382
val,B-C,Place327_12,Place327,2,-0.20430803298950195,-0.20075651199101507
val,B-A,Place331_1,Place331,1,-0.3311440348625183,-0.3310249162094073
val,B-C,Place331_1,Place331,1,-0.19690924882888794,-0.19683962541986677
val,B-A,Place331_12,Place331,2,-0.0897221565246582,-0.10512978101298964
val,B-C,Place331_12,Place331,2,-0.2522549629211426,-0.2670942730066934
val,B-A,Place340_1,Place340,1,-0.5822076797485352,-0.5822079333042054
val,B-C,Place340_1,Place340,1,0.09512162208557129,0.09511512657498677
val,B-A,Place340_12,Place340,2,-0.10671615600585938,-0.10669521022526629
val,B-C,Place340_12,Place340,2,0.5492897033691406,0.5493282844726375
val,B-A,Place341_1,Place341,1,-0.003529667854309082,-0.0035398523572935936
val,B-C,Place341_1,Place341,1,0.04306840896606445,0.043065126453759595
val,B-A,Place341_12,Place341,2,0.024138808250427246,0.024210800774330465
val,B-C,Place341_12,Place341,2,0.027389883995056152,0.027421097740366163
val,B-A,Place343_1,Place343,1,0.10598516464233398,0.10597012867157818
val,B-C,Place343_1,Place343,1,0.15424668788909912,0.1542219914313131
val,B-A,Place343_12,Place343,2,-0.15575408935546875,-0.1315712116377572
val,B-C,Place343_12,Place343,2,0.01093745231628418,0.00344645955523748
val,B-A,Place347_1,Place347,1,0.11232870817184448,0.11232505553485284
val,B-C,Place347_1,Place347,1,-0.0022319555282592773,-0.0022244963048048128
val,B-A,Place347_12,Place347,2,-0.05073639750480652,-0.053266720598366124
val,B-C,Place347_12,Place347,2,-0.14111486077308655,-0.13961234025796698
val,B-A,Place348_1,Place348,1,-0.2155606746673584,-0.2155609488445418
val,B-C,Place348_1,Place348,1,0.01804661750793457,0.018045210975063508
val,B-A,Place348_12,Place348,2,-0.012434244155883789,0.02462455339559888
val,B-C,Place348_12,Place348,2,-0.01709127426147461,0.005611036654484813
val,B-A,Place354_1,Place354,1,-0.17816174030303955,-0.1781221552142218
val,B-C,Place354_1,Place354,1,0.007146954536437988,0.007152352219521152
val,B-A,Place354_12,Place354,2,-0.09595179557800293,-0.0881989882931764
val,B-C,Place354_12,Place354,2,-0.11451208591461182,-0.1040437822101512
val,B-A,Place356_1,Place356,1,-0.16821348667144775,-0.16819171720663617
val,B-C,Place356_1,Place356,1,0.3750676214694977,0.37478695664571304
val,B-A,Place356_12,Place356,2,-0.982772707939148,-0.9697078667474686
val,B-C,Place356_12,Place356,2,0.2670806646347046,0.26633841950830783
val,B-A,Place359_1,Place359,1,0.05639117956161499,0.056400635334386884
val,B-C,Place359_1,Place359,1,0.4106345772743225,0.4106508244356887
val,B-A,Place359_12,Place359,2,-0.21372473239898682,-0.23520451393980268
val,B-C,Place359_12,Place359,2,0.34958040714263916,0.3692312809480853
val,B-A,Place360_1,Place360,1,0.14899182319641113,0.14899814351209928
val,B-C,Place360_1,Place360,1,-0.31623923778533936,-0.31624679374830267
val,B-A,Place360_12,Place360,2,1.8236346244812012,1.8152959689189205
val,B-C,Place360_12,Place360,2,-0.6139624118804932,-0.6127471734135899
val,B-A,Place361_1,Place361,1,-0.19012069702148438,-0.19011575009966775
val,B-C,Place361_1,Place361,1,0.10574817657470703,0.10575329362448516
val,B-A,Place361_12,Place361,2,-0.2036278247833252,-0.20289790137446895
val,B-C,Place361_12,Place361,2,0.5408189296722412,0.5313392956072034
val,B-A,Place362_1,Place362,1,0.14550697803497314,0.14554870299365197
val,B-C,Place362_1,Place362,1,0.023744583129882812,0.023747935355678873
val,B-A,Place362_12,Place362,2,1.1029381155967712,1.095270582516307
val,B-C,Place362_12,Place362,2,-0.2752058506011963,-0.27381708299242935
val,B-A,Place37_1,Place37,1,-0.18315327167510986,-0.18310715309364745
val,B-C,Place37_1,Place37,1,0.2975630760192871,0.2973289167262685
val,B-A,Place37_12,Place37,2,-0.23001760244369507,-0.23363679980610663
val,B-C,Place37_12,Place37,2,-0.30914658308029175,-0.3094890376978554
val,B-A,Place370_1,Place370,1,-0.18895304203033447,-0.18894672460725648
val,B-C,Place370_1,Place370,1,0.21976518630981445,0.2197497151467287
val,B-A,Place370_12,Place370,2,0.23974716663360596,0.23031313562673827
val,B-C,Place370_12,Place370,2,0.24624407291412354,0.23785952860934034
val,B-A,Place372_1,Place372,1,0.3788207769393921,0.3787287037159216
val,B-C,Place372_1,Place372,1,-0.11223363876342773,-0.11222740707743284
val,B-A,Place372_12,Place372,2,0.028856754302978516,-0.09183952621165759
val,B-C,Place372_12,Place372,2,-0.6514062881469727,-0.3461531698541114
val,B-A,Place385_1,Place385,1,-0.4036226272583008,-0.40350231509427514
val,B-C,Place385_1,Place385,1,-0.017793893814086914,-0.01774249300105768
val,B-A,Place385_12,Place385,2,0.07547968626022339,0.07610310483880012
val,B-C,Place385_12,Place385,2,-0.005951225757598877,-0.003333401747493192
val,B-A,Place389_1,Place389,1,-0.18668746948242188,-0.18668789313414602
val,B-C,Place389_1,Place389,1,0.2994877099990845,0.29947543162054213
val,B-A,Place389_12,Place389,2,-0.06357884407043457,-0.10211134946687661
val,B-C,Place389_12,Place389,2,0.08364391326904297,0.026218567548182303
val,B-A,Place393_1,Place393,1,0.1499422788619995,0.14992986369620842
val,B-C,Place393_1,Place393,1,0.0907016396522522,0.09066406854298215
val,B-A,Place393_12,Place393,2,1.094367265701294,0.5807915940751434
val,B-C,Place393_12,Place393,2,0.39634180068969727,0.23987510477759422
val,B-A,Place394_1,Place394,1,0.33199602365493774,0.3320152043454577
val,B-C,Place394_1,Place394,1,0.4423765540122986,0.4423433073188998
val,B-A,Place394_12,Place394,2,1.7142333984375,0.9644672566405008
val,B-C,Place394_12,Place394,2,1.4101293087005615,0.9549382696917652
val,B-A,Place401_1,Place401,1,-0.04870672523975372,-0.04857974422722172
val,B-C,Place401_1,Place401,1,-0.11850793659687042,-0.11866323567689963
val,B-A,Place401_12,Place401,2,-0.02950263023376465,-0.05087968213834948
val,B-C,Place401_12,Place401,2,-0.1316695213317871,-0.15673369562798456
val,B-A,Place405_1,Place405,1,-1.2171584367752075,-1.2170100060274829
val,B-C,Place405_1,Place405,1,-0.3762439489364624,-0.37616336520379345
val,B-A,Place405_12,Place405,2,-0.028897762298583984,0.035144206510809184
val,B-C,Place405_12,Place405,2,0.622572660446167,0.5038785344581189
val,B-A,Place407_1,Place407,1,-1.453749418258667,-1.4537416013129245
val,B-C,Place407_1,Place407,1,-0.32713818550109863,-0.3271324053697997
val,B-A,Place407_12,Place407,2,-0.411649227142334,-0.39746190127968006
val,B-C,Place407_12,Place407,2,-0.11888599395751953,-0.11352887675830292
val,B-A,Place408_1,Place408,1,-1.1117501258850098,-1.1117506880707335
val,B-C,Place408_1,Place408,1,-0.560753345489502,-0.5607530986486795
val,B-A,Place408_12,Place408,2,-0.5664732456207275,-0.5644175183797562
val,B-C,Place408_12,Place408,2,-1.4025123119354248,-1.3995690513887387
val,B-A,Place410_1,Place410,1,-0.5305962562561035,-0.53059500659504
val,B-C,Place410_1,Place410,1,-0.004640102386474609,-0.004640104760025743
val,B-A,Place410_12,Place410,2,-1.643366277217865,-1.6306667164129374
val,B-C,Place410_12,Place410,2,-0.5625602602958679,-0.5572899815620955
val,B-A,Place411_1,Place411,1,-2.183521032333374,-2.1834625262420446
val,B-C,Place411_1,Place411,1,0.15041035413742065,0.1503885739006544
val,B-A,Place411_12,Place411,2,-2.090943366289139,-2.0880438595738497
val,B-C,Place411_12,Place411,2,-0.023677796125411987,-0.024999374944241537
val,B-A,Place418_1,Place418,1,-0.011174678802490234,-0.011195059573695154
val,B-C,Place418_1,Place418,1,0.14435410499572754,0.14430886547462052
val,B-A,Place418_12,Place418,2,0.09286719560623169,0.0871609631773147
val,B-C,Place418_12,Place418,2,-0.30105823278427124,-0.2986499034344269
val,B-A,Place422_1,Place422,1,-0.928294837474823,-0.9281544119162761
val,B-C,Place422_1,Place422,1,-3.6854400038719177,-3.6852933244447392
val,B-A,Place422_12,Place422,2,-1.180967926979065,-1.1010456252029839
val,B-C,Place422_12,Place422,2,-1.7598801851272583,-1.6053500910665768
val,B-A,Place428_1,Place428,1,-0.1445627212524414,-0.14455992904870385
val,B-C,Place428_1,Place428,1,0.1611347198486328,0.16113814676974325
val,B-A,Place428_12,Place428,2,1.558755874633789,1.5157897238985223
val,B-C,Place428_12,Place428,2,-0.15072870254516602,-0.13727296850607917
val,B-A,Place430_1,Place430,1,0.19736266136169434,0.19736329401564223
val,B-C,Place430_1,Place430,1,-0.26244354248046875,-0.2624429069698442
val,B-A,Place430_12,Place430,2,0.9255800247192383,0.9012164265962177
val,B-C,Place430_12,Place430,2,-0.6761999130249023,-0.6644780661093996
val,B-A,Place440_1,Place440,1,0.2888752222061157,0.28847969547765473
val,B-C,Place440_1,Place440,1,0.10921657085418701,0.10920746058071185
val,B-A,Place440_12,Place440,2,1.5840721130371094,1.28207722988191
val,B-C,Place440_12,Place440,2,-0.1374492645263672,-0.05408736749355647
val,B-A,Place444_1,Place444,1,-0.18458358943462372,-0.1838573032814203
val,B-C,Place444_1,Place444,1,-0.07700182497501373,-0.07670703718439997
val,B-A,Place444_12,Place444,2,-5.500821590423584,-3.691415983021262
val,B-C,Place444_12,Place444,2,-2.568352222442627,-1.7037914718976168
val,B-A,Place451_1,Place451,1,1.4966521263122559,1.4966522839567151
val,B-C,Place451_1,Place451,1,0.16048622131347656,0.16048684938114377
val,B-A,Place451_12,Place451,2,1.0544757843017578,1.038083929309634
val,B-C,Place451_12,Place451,2,-0.07904267311096191,-0.07790759981066442
val,B-A,Place461_1,Place461,1,-0.5382246375083923,-0.5381005868438811
val,B-C,Place461_1,Place461,1,-0.41143476963043213,-0.41134189767897966
val,B-A,Place461_12,Place461,2,1.4273757934570312,0.8336078184411679
val,B-C,Place461_12,Place461,2,0.49098682403564453,0.19240372280366724
val,B-A,Place469_1,Place469,1,-0.16396045684814453,-0.16399879395534112
val,B-C,Place469_1,Place469,1,-0.2043013572692871,-0.20432932486339772
val,B-A,Place469_12,Place469,2,0.12164735794067383,0.08534774547562618
val,B-C,Place469_12,Place469,2,0.056969642639160156,-0.025798540085749444
val,B-A,Place471_1,Place471,1,0.27258557081222534,0.27298475899461433
val,B-C,Place471_1,Place471,1,0.20962169766426086,0.210231064006957
val,B-A,Place471_12,Place471,2,0.2279341220855713,0.270151920709055
val,B-C,Place471_12,Place471,2,-0.20171570777893066,-0.21984883171872438
val,B-A,Place472_1,Place472,1,-0.09773635864257812,-0.09780602260906746
val,B-C,Place472_1,Place472,1,-0.12725818157196045,-0.12723345169740208
val,B-A,Place472_12,Place472,2,0.0798797607421875,0.13493866142137367
val,B-C,Place472_12,Place472,2,-0.2696681022644043,-0.264647484015355
val,B-A,Place473_1,Place473,1,-0.28862327337265015,-0.28805286067912106
val,B-C,Place473_1,Place473,1,0.08386245369911194,0.08405245869688216
val,B-A,Place473_12,Place473,2,2.4333548545837402,2.4273305031487595
val,B-C,Place473_12,Place473,2,-0.3480224609375,-0.3397858523251589
val,B-A,Place476_1,Place476,1,-0.26088088750839233,-0.2603238274912354
val,B-C,Place476_1,Place476,1,-0.3854033946990967,-0.3848698875844174
val,B-A,Place476_12,Place476,2,0.3262939453125,0.32341187199398735
val,B-C,Place476_12,Place476,2,-0.06607627868652344,-0.05584859964391864
val,B-A,Place478_1,Place478,1,0.2083612084388733,0.2083425190768421
val,B-C,Place478_1,Place478,1,-0.038733065128326416,-0.038728695744524866
val,B-A,Place478_12,Place478,2,0.5676007270812988,0.3204399167122918
val,B-C,Place478_12,Place478,2,0.5178041458129883,0.32349143630261956
val,B-A,Place481_1,Place481,1,-0.1767643690109253,-0.1767674881341359
val,B-C,Place481_1,Place481,1,-0.23357975482940674,-0.23359006967022733
val,B-A,Place481_12,Place481,2,-0.7397842407226562,-0.6467173193681122
val,B-C,Place481_12,Place481,2,0.567939281463623,0.49707828765878403
val,B-A,Place483_1,Place483,1,0.2457413673400879,0.24573981948601897
val,B-C,Place483_1,Place483,1,0.8235633373260498,0.8235570901426392
