split,contrast,scene,group,compositions,patch_mean_delta,pixel_mean_delta
val,B-A,Place101,all,2,0.056045904755592346,0.06880349141157835
val,B-A,Place101,single,1,0.18215781450271606,0.1821423034787082
val,B-A,Place101,multi,1,-0.07006600499153137,-0.04453532065555149
val,B-A,Place107,all,2,0.20421791076660156,0.2114253790243911
val,B-A,Place107,single,1,0.4544091820716858,0.4542253451141571
val,B-A,Place107,multi,1,-0.045973360538482666,-0.03137458706537488
val,B-A,Place112,all,2,-0.11487233638763428,-0.105149745404857
val,B-A,Place112,single,1,0.05278217792510986,0.05280550853822019
val,B-A,Place112,multi,1,-0.2825268507003784,-0.2631049993479342
val,B-A,Place118,all,2,-0.0885058268904686,-0.09193336467978788
val,B-A,Place118,single,1,-0.22626005113124847,-0.2282230193098435
val,B-A,Place118,multi,1,0.04924839735031128,0.04435628995026775
val,B-A,Place12,all,2,1.632746696472168,1.6221886093629216
val,B-A,Place12,single,1,2.056941270828247,2.0569300996717996
val,B-A,Place12,multi,1,1.2085521221160889,1.1874471190540437
val,B-A,Place120,all,2,-0.18216025829315186,-0.17597409742832387
val,B-A,Place120,single,1,-0.1519526243209839,-0.15196748794343506
val,B-A,Place120,multi,1,-0.21236789226531982,-0.19998070691321268
val,B-A,Place125,all,2,0.04125380516052246,0.045692015828271426
val,B-A,Place125,single,1,-0.07812464237213135,-0.0781204838015932
val,B-A,Place125,multi,1,0.16063225269317627,0.16950451545813605
val,B-A,Place130,all,2,0.02048879861831665,0.041229136552102974
val,B-A,Place130,single,1,0.35690176486968994,0.3568309452161761
val,B-A,Place130,multi,1,-0.31592416763305664,-0.27437267211197014
val,B-A,Place139,all,2,0.7062457203865051,0.631394235348345
val,B-A,Place139,single,1,-0.1646796464920044,-0.16465610375127304
val,B-A,Place139,multi,1,1.5771710872650146,1.4274445744479631
val,B-A,Place147,all,2,0.36738526821136475,0.36762344485551046
val,B-A,Place147,single,1,0.7277131080627441,0.7277226139749757
